,url,tweet,tweet_clean,likes_cat,cnt_words,cnt_snts,cnt_spec_smbls,cnt_link_web,cnt_link_users,cnt_tags,tonality,tweet_clean_lem
0,https://twitter.com/JoeBiden/status/1317262047420190720,"Folks, millions of you have already requested absentee ballots. It’s essential to return your ballots as soon as you can. You can return your ballot by mail or, in most states, at locations designated by your clerk. Head to https://t.co/eoxT07uII9 to learn more. https://t.co/ULvjzpb8PZ",folks millions of you have already requested absentee ballots it s essential to return your ballots as soon as you can you can return your ballot by mail or in most states at locations designated by your clerk head to https to learn more https,0,45,5,12,2,0,0,0,folk million of you have already request absentee ballot it s essential to return your ballot as soon a you can you can return your ballot by mail or in most state at location designate by your clerk head to https to learn more http
1,https://twitter.com/JoeBiden/status/1317252484071624708,"Violence against transgender and gender non-conforming people — particularly Black and Brown transgender women — is an epidemic that needs national leadership. But Donald Trump has done nothing but fan the flames of transphobia.

It has to end. https://t.co/v2DAbcIcCv",violence against transgender and gender people particularly black and brown transgender women is an epidemic that needs national leadership but donald trump has done nothing but fan the flames of transphobia it has to end https,1,36,4,8,1,0,0,1,violence against transgender and gender people particularly black and brown transgender woman be an epidemic that need national leadership but donald trump have do nothing but fan the flame of transphobia it have to end http
2,https://twitter.com/JoeBiden/status/1317243927817113600,Let’s be clear: The emergency aid should have never been denied in the first place. https://t.co/GZuhSNSY7y,let s be clear the emergency aid should have never been denied in the first place https,1,17,2,5,1,0,0,0,let s be clear the emergency aid should have never be deny in the first place http
3,https://twitter.com/JoeBiden/status/1317230581994811392,"The election is underway across the country, and millions of Americans have already cast their ballots. I’m in Detroit, Michigan, to encourage folks to join them and vote early. Tune in. https://t.co/8QXlDNjKzi",the election is underway across the country and millions of americans have already cast their ballots i m in detroit michigan to encourage folks to join them and vote early tune in https,-1,33,4,9,1,0,0,1,the election be underway across the country and million of american have already cast their ballot i m in detroit michigan to encourage folk to join them and vote early tune in http
4,https://twitter.com/JoeBiden/status/1317226311669014528,"Not only does President Trump refuse to grant Temporary Protected Status to Venezuelans, but he also apparently used stealth deportations to send them back to the oppressive Maduro regime.

It’s abundantly clear he has no regard for the suffering of the Venezuelan people. https://t.co/wJnQ5EDT7M",not only does president trump refuse to grant temporary protected status to venezuelans but he also apparently used stealth deportations to send them back to the oppressive maduro regime it s abundantly clear he has no regard for the suffering of the venezuelan people https,0,45,3,6,1,0,0,0,not only do president trump refuse to grant temporary protect status to venezuelan but he also apparently use stealth deportation to send them back to the oppressive maduro regime it s abundantly clear he have no regard for the suffering of the venezuelan people https
5,https://twitter.com/JoeBiden/status/1317216245679378432,"You have the power to prevent 2016 from happening again — but only if you vote.

https://t.co/eoxT07d7QB https://t.co/ujWChoXpYK",you have the power to prevent from happening again but only if you vote https https,1,16,2,7,2,0,0,1,you have the power to prevent from happen again but only if you vote https http
6,https://twitter.com/JoeBiden/status/1317202907444334592,We need a president who will expand access to health care — not one who does everything he can to tear it away.,we need a president who will expand access to health care not one who does everything he can to tear it away,1,22,1,2,0,0,0,0,we need a president who will expand access to health care not one who do everything he can to tear it away
7,https://twitter.com/JoeBiden/status/1317187255019077632,We can’t let President Trump tear down Obamacare — we have to protect and build on it. Tune in as I speak live from Michigan about my plans to give more Americans access to affordable health care. https://t.co/RZ8hakbLbe,we can t let president trump tear down obamacare we have to protect and build on it tune in as i speak live from michigan about my plans to give more americans access to affordable health care https,0,38,3,6,1,0,0,0,we can t let president trump tear down obamacare we have to protect and build on it tune in a i speak live from michigan about my plan to give more american access to affordable health care http
8,https://twitter.com/JoeBiden/status/1317162642142875654,"I know times are tough, but I promise our best days still lie ahead. Together, we're going to overcome these crises, unite the country, and build a better future for all.",i know times are tough but i promise our best days still lie ahead together we going to overcome these crises unite the country and build a better future for all,1,31,2,7,0,0,0,0,i know time be tough but i promise our best day still lie ahead together we go to overcome these crisis unite the country and build a good future for all
9,https://twitter.com/JoeBiden/status/1317151066035802112,"The cast of Hamilton knows we're engaged in a battle for this nation's very soul — and this election is too important to sit out. So they're coming together for a grassroots fundraiser tonight that you won't want to miss.

Chip in to reserve your spot: https://t.co/3ScSFrEMSr",the cast of hamilton knows we engaged in a battle for this nation very soul and this election is too important to sit out so they coming together for a grassroots fundraiser tonight that you wo want to miss chip in to reserve your spot https,0,46,3,10,1,0,0,1,the cast of hamilton know we engage in a battle for this nation very soul and this election be too important to sit out so they come together for a grassroots fundraiser tonight that you wo want to miss chip in to reserve your spot http
10,https://twitter.com/JoeBiden/status/1317118107882803203,".@JLo and @AROD –– Jill and I are deeply grateful to have your support.

Thank you for stepping up and speaking out. As Jennifer said: The Latino community has the power to determine the outcome of this election. 

Vote: https://t.co/eoxT07d7QB https://t.co/Nf08ln8XVj",jlo and arod jill and i are deeply grateful to have your support thank you for stepping up and speaking out as jennifer said the latino community has the power to determine the outcome of this election vote https https,1,40,5,13,2,2,0,1,jlo and arod jill and i be deeply grateful to have your support thank you for step up and speak out a jennifer say the latino community have the power to determine the outcome of this election vote http http
11,https://twitter.com/JoeBiden/status/1317113065544929282,Louisiana –– early voting begins today across the state. Head to https://t.co/2NyiL42it7 to find all the info you need to cast your ballot.,louisiana early voting begins today across the state head to https to find all the info you need to cast your ballot,0,22,2,5,1,0,0,1,louisiana early voting begin today across the state head to https to find all the info you need to cast your ballot
12,https://twitter.com/JoeBiden/status/1317108032317267968,Nebraska — today is your last day to register to vote online and by mail. Head to https://t.co/K5rrtCjL7O to get registered before it’s too late.,nebraska today is your last day to register to vote online and by mail head to https to get registered before it s too late,0,25,2,6,1,0,0,1,nebraska today be your last day to register to vote online and by mail head to https to get register before it s too late
